TS,label,value
2015-06-22_00:00:00,N,0.939940999999635
2015-06-23_00:00:00,B,0.97021500000028
2015-06-24_00:00:00,N,0.620117000000391
2015-07-03_00:00:00,N,8.50996099999975
2015-07-08_00:00:00,B,1.89970699999958
2015-07-09_00:00:00,N,0.650391000000127
2015-07-10_00:00:00,B,0.52978499999972
2015-07-11_00:00:00,A,0.620117000000391
2015-07-12_00:00:00,N,0.629882999999609
2015-07-13_00:00:00,B,0.640137000000323
2015-07-14_00:00:00,N,0.599608999999873
2015-07-15_00:00:00,A,0.640137000000323
2015-07-16_00:00:00,N,0.62988200000018
2015-07-17_00:00:00,N,0.610351999999693
2015-07-18_00:00:00,B,0.580077999999958
2015-07-19_00:00:00,B,0.569824000000153
2015-07-20_00:00:00,A,0.600097999999889
2015-07-21_00:00:00,N,0.569824000000153
2015-07-22_00:00:00,B,0.629882999999609
2015-07-23_00:00:00,B,0.510253999999804
2015-07-24_00:00:00,A,0.520019000000502
2015-07-25_00:00:00,A,0.540039999999863
2015-07-26_00:00:00,A,0.509764999999788
2015-07-27_00:00:00,N,0.550293000000238
2015-07-28_00:00:00,A,0.52978499999972
2015-07-29_00:00:00,N,0.549805000000561
2015-07-30_00:00:00,B,0.590331999999762
2015-07-31_00:00:00,B,0.689940999999635
2015-08-01_00:00:00,B,0.699707000000672
2015-08-02_00:00:00,B,0.670411000000058
2015-08-03_00:00:00,A,0.27978499999972
2015-08-04_00:00:00,B,0.609862999999678
2015-08-05_00:00:00,N,0.540039000000434
2015-08-06_00:00:00,A,0.510253999999804
2015-08-07_00:00:00,B,0.52978499999972
2015-08-08_00:00:00,A,0.530274000000645
2015-08-09_00:00:00,A,0.559569999999439
2015-08-10_00:00:00,A,0.560059000000365
2015-08-11_00:00:00,A,0.550291999999899
2015-08-12_00:00:00,N,0.549804999999651
2015-08-13_00:00:00,N,0.550293000000238
2015-08-14_00:00:00,N,0.559570000000349
2015-08-15_00:00:00,N,0.560058999999455
2015-08-16_00:00:00,N,0.580077999999958
2015-08-17_00:00:00,A,0.560059000000365
2015-08-18_00:00:00,B,0.560058000000026
2015-08-19_00:00:00,B,0.569824999999582
2015-08-20_00:00:00,B,0.57031200000074
2015-08-21_00:00:00,N,0.549804999999651
2015-08-22_00:00:00,N,0.549804000000222
2015-08-23_00:00:00,N,0.550292999999329
2015-08-24_00:00:00,A,0.569825000000492
